
=== Median session RANGE ($) ===
session   Asia  London  NewYork strongest
year                                     
2004      2.20    4.10     3.50    London
2005      2.00    3.60     3.20    London
2006      4.80    8.50     8.60   NewYork
2007      3.50    7.40     6.75    London
2008      8.40   17.70    14.30    London
2009      7.20   12.62    11.47    London
2010      6.59   13.47    12.31    London
2011      9.18   17.17    17.79   NewYork
2012      7.44   14.48    15.69   NewYork
2013      8.55   16.02    15.83    London
2014      6.46   11.00    10.96    London
2015      5.94   11.34    11.46   NewYork
2016      7.63   11.20    11.67   NewYork
2017      5.10    7.93     9.03   NewYork
2018      5.36    7.90     8.12   NewYork
2019      5.79    9.14    10.15   NewYork
2020     11.74   19.35    18.76    London
2021      9.61   16.24    16.19    London
2022      9.36   17.29    17.28    London
2023      8.93   16.56    18.14   NewYork
2024     13.68   21.32    22.24   NewYork
2025     23.56   28.61    27.29    London

=== Median session NET directional move ($) ===
session   Asia  London  NewYork strongest
year                                     
2004      0.95    1.80     1.40    London
2005      0.90    1.70     1.50    London
2006      2.00    3.85     3.70    London
2007      1.50    3.60     2.60    London
2008      4.00    7.70     6.00    London
2009      3.03    5.10     4.67    London
2010      3.02    6.18     4.77    London
2011      4.34    6.59     7.68   NewYork
2012      3.12    5.84     6.06   NewYork
2013      3.23    6.91     6.62    London
2014      2.46    3.91     4.25   NewYork
2015      2.54    4.95     3.98    London
2016      3.31    4.25     5.00   NewYork
2017      2.18    3.32     3.81   NewYork
2018      2.23    3.52     3.72   NewYork
2019      2.73    3.33     3.96   NewYork
2020      4.40    7.85     6.93    London
2021      3.86    6.71     7.73   NewYork
2022      3.82    7.85     6.99    London
2023      3.80    6.47     6.43    London
2024      5.50    9.24     8.91    London
2025     10.13   11.08    11.00    London

=== Median EFFICIENCY net/range (trendiness) ===
session  Asia  London  NewYork strongest
year                                    
2004     0.46    0.45     0.41      Asia
2005     0.50    0.50     0.50      Asia
2006     0.45    0.46     0.47   NewYork
2007     0.46    0.52     0.43    London
2008     0.45    0.46     0.47   NewYork
2009     0.44    0.45     0.45    London
2010     0.45    0.46     0.45    London
2011     0.45    0.44     0.46   NewYork
2012     0.47    0.46     0.43      Asia
2013     0.38    0.48     0.46    London
2014     0.43    0.39     0.40      Asia
2015     0.45    0.50     0.40    London
2016     0.46    0.41     0.42      Asia
2017     0.45    0.43     0.43      Asia
2018     0.46    0.46     0.48   NewYork
2019     0.48    0.41     0.44      Asia
2020     0.41    0.43     0.44   NewYork
2021     0.44    0.43     0.48   NewYork
2022     0.43    0.49     0.46    London
2023     0.45    0.44     0.43      Asia
2024     0.42    0.47     0.46    London
2025     0.45    0.45     0.41      Asia
